id,type,title,text,parent,references,page
mdr+chapter_II+article_14+req_3,req,,"
Distributors shall ensure that, while the device is under their responsibility, storage or transport conditions comply 
with the conditions set by the manufacturer. ",mdr+chapter_II+article_14,,8
mdr+chapter_II+article_14+req_4,req,,"
Distributors that consider or have reason to believe that a device which they have made available on the market is 
not in conformity with this Regulation shall immediately inform the manufacturer and, where applicable, the manufac­
turer's authorised representative and the importer. Distributors shall co-operate with the manufacturer and, where 
applicable, the manufacturer's authorised representative, and the importer, and with competent authorities to ensure that 
the necessary corrective action to bring that device into conformity, to withdraw or to recall it, as appropriate, is taken. 
Where the distributor considers or has reason to believe that the device presents a serious risk, it shall also immediately 
inform the competent authorities of the Member States in which it made the device available, giving details, in 
particular, of the non-compliance and of any corrective action taken. ",mdr+chapter_II+article_14,,8
mdr+chapter_II+article_14+req_5,req,,"
Distributors that have received complaints or reports from healthcare professionals, patients or users about 
suspected incidents related to a device they have made available, shall immediately forward this information to the 
manufacturer and, where applicable, the manufacturer's authorised representative, and the importer. They shall keep 
a register of complaints, of non-conforming devices and of recalls and withdrawals, and keep the manufacturer and, 
where available, the authorised representative and the importer informed of such monitoring and provide them with any 
information upon their request. ",mdr+chapter_II+article_14,,8
mdr+chapter_II+article_14+req_6,req,,"
Distributors shall, upon request by a competent authority, provide it with all the information and documentation 
that is at their disposal and is necessary to demonstrate the conformity of a device. 
Distributors shall be considered to have fulfilled the obligation referred to in the first subparagraph when the 
manufacturer or, where applicable, the authorised representative for the device in question provides the required 
information. Distributors shall cooperate with competent authorities, at their request, on any action taken to eliminate 
the risks posed by devices which they have made available on the market. Distributors, upon request by a competent 
authority, shall provide free samples of the device or, where that is impracticable, grant access to the device. ",mdr+chapter_II+article_14,,8
mdr+chapter_II+article_15,article,Person responsible for regulatory compliance ,Person responsible for regulatory compliance ,mdr+chapter_II,,8
mdr+chapter_II+article_15+req_1,req,,"
Manufacturers shall have available within their organisation at least one person responsible for regulatory 
compliance who possesses the requisite expertise in the field of medical devices. The requisite expertise shall be 
demonstrated by either of the following qualifications: ",mdr+chapter_II+article_15,,8
mdr+chapter_II+article_15+req_1+sreq_a,sreq,,"a diploma, certificate or other evidence of formal qualification, awarded on completion of a university degree or of 
a course of study recognised as equivalent by the Member State concerned, in law, medicine, pharmacy, engineering 
or another relevant scientific discipline, and at least one year of professional experience in regulatory affairs or in 
quality management systems relating to medical devices; ",mdr+chapter_II+article_15+req_1,,8
mdr+chapter_II+article_15+req_1+sreq_b,sreq,,"four years of professional experience in regulatory affairs or in quality management systems relating to medical 
devices. 
Without prejudice to national provisions regarding professional qualifications, manufacturers of custom-made devices 
may demonstrate the requisite expertise referred to in the first subparagraph by having at least two years of professional 
experience within a relevant field of manufacturing. ",mdr+chapter_II+article_15+req_1,,8
mdr+chapter_II+article_15+req_2,req,,"
Micro and small enterprises within the meaning of Commission Recommendation 2003/361/EC (1) shall not be 
required to have the person responsible for regulatory compliance within their organisation but shall have such person 
permanently and continuously at their disposal. 
L 117/28 
(1) Commission Recommendation 2003/361/ΕC of 6 May 2003 concerning the definition of micro, small and medium-sized enterprises 
(OJ L 124, 20.5.2003, p. 36). 
",mdr+chapter_II+article_15,,8
mdr+chapter_II+article_15+req_3,req,,"
The person responsible for regulatory compliance shall at least be responsible for ensuring that: ",mdr+chapter_II+article_15,,9
mdr+chapter_II+article_15+req_3+sreq_a,sreq,,"the conformity of the devices is appropriately checked, in accordance with the quality management system under 
which the devices are manufactured, before a device is released; ",mdr+chapter_II+article_15+req_3,,9
mdr+chapter_II+article_15+req_3+sreq_b,sreq,,the technical documentation and the EU declaration of conformity are drawn up and kept up-to-date; ,mdr+chapter_II+article_15+req_3,,9
mdr+chapter_II+article_15+req_3+sreq_c,sreq,,the post-market surveillance obligations are complied with in accordance with Article 10(10); ,mdr+chapter_II+article_15+req_3,Article 10,9
mdr+chapter_II+article_15+req_3+sreq_d,sreq,,the reporting obligations referred to in Articles 87 to 91 are fulfilled; ,mdr+chapter_II+article_15+req_3,,9
mdr+chapter_II+article_15+req_3+sreq_e,sreq,,"in the case of investigational devices, the statement referred to in Section 4.1 of Chapter II of Annex XV is issued. ",mdr+chapter_II+article_15+req_3,Annex XV,9
mdr+chapter_II+article_15+req_4,req,,"
If a number of persons are jointly responsible for regulatory compliance in accordance with paragraphs 1, 2 and 3, 
their respective areas of responsibility shall be stipulated in writing. ",mdr+chapter_II+article_15,,9
mdr+chapter_II+article_15+req_5,req,,"
The person responsible for regulatory compliance shall suffer no disadvantage within the manufacturer's 
organisation in relation to the proper fulfilment of his or her duties, regardless of whether or not they are employees of 
the organisation. ",mdr+chapter_II+article_15,,9
mdr+chapter_II+article_15+req_6,req,,"
Authorised representatives shall have permanently and continuously at their disposal at least one person 
responsible for regulatory compliance who possesses the requisite expertise regarding the regulatory requirements for 
medical devices in the Union. The requisite expertise shall be demonstrated by either of the following qualifications: ",mdr+chapter_II+article_15,,9
mdr+chapter_II+article_15+req_6+sreq_a,sreq,,"a diploma, certificate or other evidence of formal qualification, awarded on completion of a university degree or of 
a course of study recognised as equivalent by the Member State concerned, in law, medicine, pharmacy, engineering 
or another relevant scientific discipline, and at least one year of professional experience in regulatory affairs or in 
quality management systems relating to medical devices; ",mdr+chapter_II+article_15+req_6,,9
mdr+chapter_II+article_15+req_6+sreq_b,sreq,,"four years of professional experience in regulatory affairs or in quality management systems relating to medical 
devices. ",mdr+chapter_II+article_15+req_6,,9
mdr+chapter_II+article_16,article,"Cases in which obligations of manufacturers apply to importers, distributors or other persons ","Cases in which obligations of manufacturers apply to importers, distributors or other persons ",mdr+chapter_II,,9
mdr+chapter_II+article_16+req_1,req,,"
A distributor, importer or other natural or legal person shall assume the obligations incumbent on manufacturers 
if it does any of the following: ",mdr+chapter_II+article_16,,9
mdr+chapter_II+article_16+req_1+sreq_a,sreq,,"makes available on the market a device under its name, registered trade name or registered trade mark, except in 
cases where a distributor or importer enters into an agreement with a manufacturer whereby the manufacturer is 
identified as such on the label and is responsible for meeting the requirements placed on manufacturers in this 
Regulation; ",mdr+chapter_II+article_16+req_1,,9
mdr+chapter_II+article_16+req_1+sreq_b,sreq,,changes the intended purpose of a device already placed on the market or put into service; ,mdr+chapter_II+article_16+req_1,,9
mdr+chapter_II+article_16+req_1+sreq_c,sreq,,"modifies a device already placed on the market or put into service in such a way that compliance with the applicable 
requirements may be affected. 
The first subparagraph shall not apply to any person who, while not considered a manufacturer as defined in point (30) 
of Article 2, assembles or adapts for an individual patient a device already on the market without changing its intended 
purpose. ",mdr+chapter_II+article_16+req_1,Article 2,9
mdr+chapter_II+article_16+req_2,req,,"
For the purposes of point (c) of paragraph 1, the following shall not be considered to be a modification of a device 
that could affect its compliance with the applicable requirements: ",mdr+chapter_II+article_16,,9
mdr+chapter_II+article_16+req_2+sreq_a,sreq,,"provision, including translation, of the information supplied by the manufacturer, in accordance with Section 23 of 
Annex I, relating to a device already placed on the market and of further information which is necessary in order to 
market the device in the relevant Member State; ",mdr+chapter_II+article_16+req_2,Annex I,9
mdr+chapter_II+article_16+req_2+sreq_b,sreq,,"changes to the outer packaging of a device already placed on the market, including a change of pack size, if the 
repackaging is necessary in order to market the device in the relevant Member State and if it is carried out in such 
conditions that the original condition of the device cannot be affected by it. In the case of devices placed on the 
market in sterile condition, it shall be presumed that the original condition of the device is adversely affected if the 
packaging that is necessary for maintaining the sterile condition is opened, damaged or otherwise negatively affected 
by the repackaging. 
L 117/29 
",mdr+chapter_II+article_16+req_2,,9
mdr+chapter_II+article_16+req_3,req,,"
A distributor or importer that carries out any of the activities mentioned in points (a) and (b) of paragraph 2 shall 
indicate on the device or, where that is impracticable, on its packaging or in a document accompanying the device, the 
activity carried out together with its name, registered trade name or registered trade mark, registered place of business 
and the address at which it can be contacted, so that its location can be established. 
Distributors and importers shall ensure that they have in place a quality management system that includes procedures 
which ensure that the translation of information is accurate and up-to-date, and that the activities mentioned in 
points (a) and (b) of paragraph 2 are performed by a means and under conditions that preserve the original condition of 
the device and that the packaging of the repackaged device is not defective, of poor quality or untidy. The quality 
management system shall cover, inter alia, procedures ensuring that the distributor or importer is informed of any 
corrective action taken by the manufacturer in relation to the device in question in order to respond to safety issues or 
to bring it into conformity with this Regulation. ",mdr+chapter_II+article_16,,10
mdr+chapter_II+article_16+req_4,req,,"
At least 28 days prior to making the relabelled or repackaged device available on the market, distributors or 
importers carrying out any of the activities mentioned in points (a) and (b) of paragraph 2 shall inform the 
manufacturer and the competent authority of the Member State in which they plan to make the device available of the 
intention to make the relabelled or repackaged device available and, upon request, shall provide the manufacturer and 
the competent authority with a sample or mock-up of the relabelled or repackaged device, including any translated label 
and instructions for use. Within the same period of 28 days, the distributor or importer shall submit to the competent 
authority a certificate, issued by a notified body designated for the type of devices that are subject to activities 
mentioned in points (a) and (b) of paragraph 2, attesting that the quality management system of the distributer or 
importer complies with the requirements laid down in paragraph 3. ",mdr+chapter_II+article_16,,10
mdr+chapter_II+article_17,article,Single-use devices and their reprocessing ,Single-use devices and their reprocessing ,mdr+chapter_II,,10
mdr+chapter_II+article_17+req_1,req,,"
Reprocessing and further use of single-use devices may only take place where permitted by national law and only 
in accordance with this Article. ",mdr+chapter_II+article_17,,10
mdr+chapter_II+article_17+req_2,req,,"
Any natural or legal person who reprocesses a single-use device to make it suitable for further use within the 
Union shall be considered to be the manufacturer of the reprocessed device and shall assume the obligations incumbent 
on manufacturers laid down in this Regulation, which include obligations relating to the traceability of the reprocessed 
device in accordance with Chapter III of this Regulation. The reprocessor of the device shall be considered to be 
a producer for the purpose of Article 3(1) of Directive 85/374/EEC. ",mdr+chapter_II+article_17,Article 3,10
mdr+chapter_II+article_17+req_3,req,,"
By way of derogation from paragraph 2, as regards single-use devices that are reprocessed and used within a health 
institution, Member States may decide not to apply all of the rules relating to manufacturers' obligations laid down in 
this Regulation provided that they ensure that: ",mdr+chapter_II+article_17,,10
mdr+chapter_II+article_17+req_3+sreq_a,sreq,,"the safety and performance of the reprocessed device is equivalent to that of the original device and the 
requirements in points (a), (b), (d), (e), (f), (g) and (h) of Article 5(5) are complied with; ",mdr+chapter_II+article_17+req_3,Article 5,10
mdr+chapter_II+article_17+req_3+sreq_b,sreq,,"the reprocessing is performed in accordance with CS detailing the requirements concerning: 
—  risk management, including the analysis of the construction and material, related properties of the device 
(reverse engineering) and procedures to detect changes in the design of the original device as well as of its 
planned application after reprocessing, 
—  the validation of procedures for the entire process, including cleaning steps, 
—  the product release and performance testing, 
—  the quality management system, 
—  the reporting of incidents involving devices that have been reprocessed, and 
—  the traceability of reprocessed devices. 
Member States shall encourage, and may require, health institutions to provide information to patients on the use of 
reprocessed devices within the health institution and, where appropriate, any other relevant information on the 
reprocessed devices that patients are treated with. 
L 117/30 

Member States shall notify the Commission and the other Member States of the national provisions introduced pursuant 
to this paragraph and the grounds for introducing them. The Commission shall keep the information publicly available. ",mdr+chapter_II+article_17+req_3,,10
mdr+chapter_II+article_17+req_4,req,,"
Member States may choose to apply the provisions referred to in paragraph 3 also as regards single-use devices 
that are reprocessed by an external reprocessor at the request of a health institution, provided that the reprocessed 
device in its entirety is returned to that health institution and the external reprocessor complies with the requirements 
referred to in points (a) and (b) of paragraph 3. ",mdr+chapter_II+article_17,,11
mdr+chapter_II+article_17+req_5,req,,"
The Commission shall adopt, in accordance with Article 9(1), the necessary CS referred to in point (b) of 
paragraph 3 by 26 May 2020. Those CS shall be consistent with the latest scientific evidence and shall address the 
application of the general requirements on safety and performance laid down in in this Regulation. In the event that 
those CS are not adopted by 26 May 2020, reprocessing shall be performed in accordance with any relevant harmonised 
standards and national provisions that cover the aspects outlined in point (b) of paragraph 3. Compliance with CS or, in 
the absence of CS, with any relevant harmonised standards and national provisions, shall be certified by a notified body. ",mdr+chapter_II+article_17,Article 9,11
mdr+chapter_II+article_17+req_6,req,,"
Only single-use devices that have been placed on the market in accordance with this Regulation, or prior to 
26 May 2020 in accordance with Directive 93/42/EEC, may be reprocessed. ",mdr+chapter_II+article_17,,11
mdr+chapter_II+article_17+req_7,req,,"
Only reprocessing of single-use devices that is considered safe according to the latest scientific evidence may be 
carried out. ",mdr+chapter_II+article_17,,11
mdr+chapter_II+article_17+req_8,req,,"
The name and address of the legal or natural person referred to in paragraph 2 and the other relevant information 
referred to in Section 23 of Annex I shall be indicated on the label and, where applicable, in the instructions for use of 
the reprocessed device. 
The name and address of the manufacturer of the original single-use device shall no longer appear on the label, but shall 
be mentioned in the instructions for use of the reprocessed device. ",mdr+chapter_II+article_17,Annex I,11
mdr+chapter_II+article_17+req_9,req,,"
A Member State that permits reprocessing of single-use devices may maintain or introduce national provisions that 
are stricter than those laid down in this Regulation and which restrict or prohibit, within its territory, the following: ",mdr+chapter_II+article_17,,11
mdr+chapter_II+article_17+req_9+sreq_a,sreq,,"the reprocessing of single-use devices and the transfer of single-use devices to another Member State or to a third 
country with a view to their reprocessing; ",mdr+chapter_II+article_17+req_9,,11
mdr+chapter_II+article_17+req_9+sreq_b,sreq,,"the making available or further use of reprocessed single-use devices. 
Member States shall notify the Commission and the other Member States of those national provisions. The Commission 
shall make such information publicly available. ",mdr+chapter_II+article_17+req_9,,11
mdr+chapter_II+article_17+req_10,req,,"
The Commission shall by 27 May 2024 draw up a report on the operation of this Article and submit it to the 
European Parliament and to the Council. On the basis of that report, the Commission shall, if appropriate, make 
proposals for amendments to this Regulation. ",mdr+chapter_II+article_17,,11
mdr+chapter_II+article_18,article,Implant card and information to be supplied to the patient with an implanted device ,Implant card and information to be supplied to the patient with an implanted device ,mdr+chapter_II,,11
mdr+chapter_II+article_18+req_1,req,,"
The manufacturer of an implantable device shall provide together with the device the following: ",mdr+chapter_II+article_18,,11
mdr+chapter_II+article_18+req_1+sreq_a,sreq,,"information allowing the identification of the device, including the device name, serial number, lot number, the UDI, 
the device model, as well as the name, address and the website of the manufacturer; ",mdr+chapter_II+article_18+req_1,,11
mdr+chapter_II+article_18+req_1+sreq_b,sreq,,"any warnings, precautions or measures to be taken by the patient or a healthcare professional with regard to 
reciprocal interference with reasonably foreseeable external influences, medical examinations or environmental 
conditions; ",mdr+chapter_II+article_18+req_1,,11
mdr+chapter_II+article_18+req_1+sreq_c,sreq,,any information about the expected lifetime of the device and any necessary follow-up; ,mdr+chapter_II+article_18+req_1,,11
mdr+chapter_II+article_18+req_1+sreq_d,sreq,,"any other information to ensure safe use of the device by the patient, including the information in point (u) of 
Section 23.4 of Annex I. 
L 117/31 

The information referred to in the first subparagraph shall be provided, for the purpose of making it available to the 
particular patient who has been implanted with the device, by any means that allow rapid access to that information 
and shall be stated in the language(s) determined by the concerned Member State. The information shall be written in 
a way that is readily understood by a lay person and shall be updated where appropriate. Updates of the information 
shall be made available to the patient via the website mentioned in point (a) of the first subparagraph. 
In addition, the manufacturer shall provide the information referred to in point (a) of the first subparagraph on an 
implant card delivered with the device. ",mdr+chapter_II+article_18+req_1,Annex I,11
mdr+chapter_II+article_18+req_2,req,,"
Member States shall require health institutions to make the information referred to in paragraph 1 available, by 
any means that allow rapid access to that information, to any patients who have been implanted with the device, 
together with the implant card, which shall bear their identity. ",mdr+chapter_II+article_18,,12
mdr+chapter_II+article_18+req_3,req,,"
The following implants shall be exempted from the obligations laid down in this Article: sutures, staples, dental 
fillings, dental braces, tooth crowns, screws, wedges, plates, wires, pins, clips and connectors. The Commission is 
empowered to adopt delegated acts in accordance with Article 115 to amend this list by adding other types of implants 
to it or by removing implants therefrom. ",mdr+chapter_II+article_18,Article 115,12
mdr+chapter_II+article_19,article,EU declaration of conformity ,EU declaration of conformity ,mdr+chapter_II,,12
mdr+chapter_II+article_19+req_1,req,,"
The EU declaration of conformity shall state that the requirements specified in this Regulation have been fulfilled 
in relation to the device that is covered. The manufacturer shall continuously update the EU declaration of conformity. 
The EU declaration of conformity shall, as a minimum, contain the information set out in Annex IV and shall be 
translated into an official Union language or languages required by the Member State(s) in which the device is made 
available. ",mdr+chapter_II+article_19,Annex IV,12
mdr+chapter_II+article_19+req_2,req,,"
Where, concerning aspects not covered by this Regulation, devices are subject to other Union legislation which 
also requires an EU declaration of conformity by the manufacturer that fulfilment of the requirements of that legislation 
has been demonstrated, a single EU declaration of conformity shall be drawn up in respect of all Union acts applicable 
to the device. The declaration shall contain all the information required for identification of the Union legislation to 
which the declaration relates. ",mdr+chapter_II+article_19,,12
mdr+chapter_II+article_19+req_3,req,,"
By drawing up the EU declaration of conformity, the manufacturer shall assume responsibility for compliance with 
the requirements of this Regulation and all other Union legislation applicable to the device. ",mdr+chapter_II+article_19,,12
mdr+chapter_II+article_19+req_4,req,,"
The Commission is empowered to adopt delegated acts in accordance with Article 115 amending the minimum 
content of the EU declaration of conformity set out in Annex IV in the light of technical progress. ",mdr+chapter_II+article_19,Article 115; Annex IV,12
mdr+chapter_II+article_20,article,CE marking of conformity ,CE marking of conformity ,mdr+chapter_II,,12
mdr+chapter_II+article_20+req_1,req,,"
Devices, other than custom-made or investigational devices, considered to be in conformity with the requirements 
of this Regulation shall bear the CE marking of conformity, as presented in Annex V. ",mdr+chapter_II+article_20,Annex V,12
mdr+chapter_II+article_20+req_2,req,,"
The CE marking shall be subject to the general principles set out in Article 30 of Regulation (EC) No 765/2008. ",mdr+chapter_II+article_20,Article 30,12
mdr+chapter_II+article_20+req_3,req,,"
The CE marking shall be affixed visibly, legibly and indelibly to the device or its sterile packaging. Where such 
affixing is not possible or not warranted on account of the nature of the device, the CE marking shall be affixed to the 
packaging. The CE marking shall also appear in any instructions for use and on any sales packaging. ",mdr+chapter_II+article_20,,12
mdr+chapter_II+article_20+req_4,req,,"
The CE marking shall be affixed before the device is placed on the market. It may be followed by a pictogram or 
any other mark indicating a special risk or use. ",mdr+chapter_II+article_20,,12
mdr+chapter_II+article_20+req_5,req,,"
Where applicable, the CE marking shall be followed by the identification number of the notified body responsible 
for the conformity assessment procedures set out in Article 52. The identification number shall also be indicated in any 
promotional material which mentions that a device fulfils the requirements for CE marking. ",mdr+chapter_II+article_20,Article 52,12
mdr+chapter_II+article_20+req_6,req,,"
Where devices are subject to other Union legislation which also provides for the affixing of the CE marking, the 
CE marking shall indicate that the devices also fulfil the requirements of that other legislation. 
L 117/32 
",mdr+chapter_II+article_20,,12
mdr+chapter_II+article_21,article,Devices for special purposes ,Devices for special purposes ,mdr+chapter_II,,13
mdr+chapter_II+article_21+req_1,req,,"
Member States shall not create obstacles to: ",mdr+chapter_II+article_21,,13
mdr+chapter_II+article_21+req_1+sreq_a,sreq,,"investigational devices being supplied to an investigator for the purpose of a clinical investigation if they meet the 
conditions laid down in Articles 62 to 80 and Article 82, in the implementing acts adopted pursuant to Article 81 
and in Annex XV; ",mdr+chapter_II+article_21+req_1,Article 82; Article 81; Annex XV,13
mdr+chapter_II+article_21+req_1+sreq_b,sreq,,"custom-made devices being made available on the market if Article 52(8) and Annex XIII have been complied with. 
The devices referred to in the first subparagraph shall not bear the CE marking, with the exception of the devices 
referred to in Article 74. ",mdr+chapter_II+article_21+req_1,Article 52; Annex XIII; Article 74,13
mdr+chapter_II+article_21+req_2,req,,"
Custom-made devices shall be accompanied by the statement referred to in Section 1 of Annex XIII, which shall be 
made available to the particular patient or user identified by name, an acronym or a numerical code. 
Member States may require that the manufacturer of a custom-made device submit to the competent authority a list of 
such devices which have been made available in their territory. ",mdr+chapter_II+article_21,Annex XIII,13
mdr+chapter_II+article_21+req_3,req,,"
At trade fairs, exhibitions, demonstrations or similar events, Member States shall not create obstacles to the 
showing of devices which do not comply with this Regulation, provided a visible sign clearly indicates that such devices 
are intended for presentation or demonstration purposes only and cannot be made available until they have been 
brought into compliance with this Regulation. ",mdr+chapter_II+article_21,,13
mdr+chapter_II+article_22,article,Systems and procedure packs ,Systems and procedure packs ,mdr+chapter_II,,13
mdr+chapter_II+article_22+req_1,req,,"
Natural or legal persons shall draw up a statement if they combine devices bearing a CE marking with the 
following other devices or products, in a manner that is compatible with the intended purpose of the devices or other 
products and within the limits of use specified by their manufacturers, in order to place them on the market as a system 
or procedure pack: ",mdr+chapter_II+article_22,,13
mdr+chapter_II+article_22+req_1+sreq_a,sreq,,other devices bearing the CE marking; ,mdr+chapter_II+article_22+req_1,,13
mdr+chapter_II+article_22+req_1+sreq_b,sreq,,in vitro diagnostic medical devices bearing the CE marking in conformity with Regulation (EU) 2017/746; ,mdr+chapter_II+article_22+req_1,,13
mdr+chapter_II+article_22+req_1+sreq_c,sreq,,"other products which are in conformity with legislation that applies to those products only where they are used 
within a medical procedure or their presence in the system or procedure pack is otherwise justified. ",mdr+chapter_II+article_22+req_1,,13
mdr+chapter_II+article_22+req_2,req,,"
In the statement made pursuant to paragraph 1, the natural or legal person concerned shall declare that: ",mdr+chapter_II+article_22,,13
mdr+chapter_II+article_22+req_2+sreq_a,sreq,,"they verified the mutual compatibility of the devices and, if applicable other products, in accordance with the manu­
facturers' instructions and have carried out their activities in accordance with those instructions; ",mdr+chapter_II+article_22+req_2,,13
mdr+chapter_II+article_22+req_2+sreq_b,sreq,,"they packaged the system or procedure pack and supplied relevant information to users incorporating the 
information to be supplied by the manufacturers of the devices or other products which have been put together; ",mdr+chapter_II+article_22+req_2,,13
mdr+chapter_II+article_22+req_2+sreq_c,sreq,,"the activity of combining devices and, if applicable, other products as a system or procedure pack was subject to 
appropriate methods of internal monitoring, verification and validation. ",mdr+chapter_II+article_22+req_2,,13
mdr+chapter_II+article_22+req_3,req,,"
Any natural or legal person who sterilises systems or procedure packs referred to in paragraph 1 for the purpose 
of placing them on the market shall, at their choice, apply one of the procedures set out in Annex IX or the procedure 
set out in Part A of Annex XI. The application of those procedures and the involvement of the notified body shall be 
limited to the aspects of the procedure relating to ensuring sterility until the sterile packaging is opened or damaged. 
The natural or legal person shall draw up a statement declaring that sterilisation has been carried out in accordance with 
the manufacturer's instructions. ",mdr+chapter_II+article_22,Annex IX; Annex XI,13
mdr+chapter_II+article_22+req_4,req,,"
Where the system or procedure pack incorporates devices which do not bear the CE marking or where the chosen 
combination of devices is not compatible in view of their original intended purpose, or where the sterilisation has not 
been carried out in accordance with the manufacturer's instructions, the system or procedure pack shall be treated as 
a device in its own right and shall be subject to the relevant conformity assessment procedure pursuant to Article 52. 
The natural or legal person shall assume the obligations incumbent on manufacturers. 
L 117/33 
",mdr+chapter_II+article_22,Article 52,13
mdr+chapter_II+article_22+req_5,req,,"
The systems or procedure packs referred to in paragraph 1 of this Article shall not themselves bear an additional 
CE marking but they shall bear the name, registered trade name or registered trade mark of the person referred to in 
paragraphs 1 and 3 of this Article as well as the address at which that person can be contacted, so that the person's 
location can be established. Systems or procedure packs shall be accompanied by the information referred to in 
Section 23 of Annex I. The statement referred to in paragraph 2 of this Article shall be kept at the disposal of the 
competent authorities, after the system or procedure pack has been put together, for the period that is applicable under 
Article 10(8) to the devices that have been combined. Where those periods differ, the longest period shall apply. ",mdr+chapter_II+article_22,Annex I; Article 10,14
mdr+chapter_II+article_23,article,Parts and components ,Parts and components ,mdr+chapter_II,,14
mdr+chapter_II+article_23+req_1,req,,"
Any natural or legal person who makes available on the market an item specifically intended to replace an 
identical or similar integral part or component of a device that is defective or worn in order to maintain or restore the 
function of the device without changing its performance or safety characteristics or its intended purpose, shall ensure 
that the item does not adversely affect the safety and performance of the device. Supporting evidence shall be kept 
available for the competent authorities of the Member States. ",mdr+chapter_II+article_23,,14
mdr+chapter_II+article_23+req_2,req,,"
An item that is intended specifically to replace a part or component of a device and that significantly changes the 
performance or safety characteristics or the intended purpose of the device shall be considered to be a device and shall 
meet the requirements laid down in this Regulation. ",mdr+chapter_II+article_23,,14
mdr+chapter_II+article_24,article,Free movement ,Free movement ,mdr+chapter_II,,14
mdr+chapter_II+article_24+req_noid,req,,"Except where otherwise provided for in this Regulation, Member States shall not refuse, prohibit or restrict the making 
available on the market or putting into service within their territory of devices which comply with the requirements of 
this Regulation. ",mdr+chapter_II+article_24,,14
mdr+chapter_III,chapter,"IDENTIFICATION AND TRACEABILITY OF DEVICES, REGISTRATION OF DEVICES AND OF ECONOMIC OPERATORS, SUMMARY OF SAFETY AND CLINICAL PERFORMANCE, EUROPEAN DATABASE ON MEDICAL DEVICES ","IDENTIFICATION AND TRACEABILITY OF DEVICES, REGISTRATION OF DEVICES AND OF ECONOMIC 
OPERATORS, SUMMARY OF SAFETY AND CLINICAL PERFORMANCE, EUROPEAN DATABASE ON 
MEDICAL DEVICES ",mdr,,14
mdr+chapter_III+article_25,article,Identification within the supply chain ,Identification within the supply chain ,mdr+chapter_III,,14
mdr+chapter_III+article_25+req_1,req,,"
Distributors and importers shall co-operate with manufacturers or authorised representatives to achieve an 
appropriate level of traceability of devices. ",mdr+chapter_III+article_25,,14
mdr+chapter_III+article_25+req_2,req,,"
Economic operators shall be able to identify the following to the competent authority, for the period referred to in 
Article 10(8): ",mdr+chapter_III+article_25,Article 10,14
mdr+chapter_III+article_25+req_2+sreq_a,sreq,,any economic operator to whom they have directly supplied a device; ,mdr+chapter_III+article_25+req_2,,14
mdr+chapter_III+article_25+req_2+sreq_b,sreq,,any economic operator who has directly supplied them with a device; ,mdr+chapter_III+article_25+req_2,,14
mdr+chapter_III+article_25+req_2+sreq_c,sreq,,any health institution or healthcare professional to which they have directly supplied a device. ,mdr+chapter_III+article_25+req_2,,14
mdr+chapter_III+article_26,article,Medical devices nomenclature ,Medical devices nomenclature ,mdr+chapter_III,,14
mdr+chapter_III+article_26+req_noid,req,,"To facilitate the functioning of the European database on medical devices (‘Eudamed’) as referred to in Article 33, the 
Commission shall ensure that an internationally recognised medical devices nomenclature is available free of charge to 
manufacturers and other natural or legal persons required by this Regulation to use that nomenclature. The Commission 
shall also endeavour to ensure that that nomenclature is available to other stakeholders free of charge, where reasonably 
practicable. 
L 117/34 
",mdr+chapter_III+article_26,Article 33,14
mdr+chapter_III+article_27,article,Unique Device Identification system ,Unique Device Identification system ,mdr+chapter_III,,15
mdr+chapter_III+article_27+req_1,req,,"
The Unique Device Identification system (‘UDI system’) described in Part C of Annex VI shall allow the identifi­
cation and facilitate the traceability of devices, other than custom-made and investigational devices, and shall consist of 
the following: ",mdr+chapter_III+article_27,Annex VI,15
mdr+chapter_III+article_27+req_1+sreq_a,sreq,,production of a UDI that comprises the following: ,mdr+chapter_III+article_27+req_1,,15
mdr+chapter_III+article_27+req_1+sreq_a+ssreq_i,ssreq,,"a UDI device identifier (‘UDI-DI’) specific to a manufacturer and a device, providing access to the information 
laid down in Part B of Annex VI; ",mdr+chapter_III+article_27+req_1+sreq_a,Annex VI,15
mdr+chapter_III+article_27+req_1+sreq_a+ssreq_ii,ssreq,,"a UDI production identifier (‘UDI-PI’) that identifies the unit of device production and if applicable the packaged 
devices, as specified in Part C of Annex VI; ",mdr+chapter_III+article_27+req_1+sreq_a,Annex VI,15
mdr+chapter_III+article_27+req_1+sreq_b,sreq,,placing of the UDI on the label of the device or on its packaging; ,mdr+chapter_III+article_27+req_1,,15
mdr+chapter_III+article_27+req_1+sreq_c,sreq,,"storage of the UDI by economic operators, health institutions and healthcare professionals, in accordance with the 
conditions laid down in paragraphs 8 and 9 of this Article respectively; ",mdr+chapter_III+article_27+req_1,,15
mdr+chapter_III+article_27+req_1+sreq_d,sreq,,"establishment of an electronic system for Unique Device Identification (‘UDI database’) in accordance with 
Article 28. ",mdr+chapter_III+article_27+req_1,Article 28,15
mdr+chapter_III+article_27+req_2,req,,"
The Commission shall, by means of implementing acts, designate one or several entities to operate a system for 
assignment of UDIs pursuant to this Regulation (‘issuing entity’). That entity or those entities shall satisfy all of the 
following criteria: ",mdr+chapter_III+article_27,,15
mdr+chapter_III+article_27+req_2+sreq_a,sreq,,the entity is an organisation with legal personality; ,mdr+chapter_III+article_27+req_2,,15
